# zone  xi   theta  dtheta/dxi
420   2.583224      0.289660      -0.335269
421   2.589360      0.287603      -0.334634
422   2.595495      0.285549      -0.333996
423   2.601631      0.283500      -0.333354
424   2.607767      0.281455      -0.332709
425   2.613903      0.279413      -0.332061
426   2.620039      0.277376      -0.331409
427   2.626175      0.275342      -0.330755
428   2.632311      0.273313      -0.330097
429   2.638447      0.271287      -0.329436
430   2.644583      0.269266      -0.328772
431   2.650719      0.267248      -0.328105
432   2.656855      0.265235      -0.327435
433   2.662991      0.263226      -0.326762
434   2.669127      0.261221      -0.326086
435   2.675262      0.259220      -0.325408
436   2.681398      0.257224      -0.324726
437   2.687534      0.255231      -0.324042
438   2.693670      0.253243      -0.323355
439   2.699806      0.251259      -0.322665
440   2.705942      0.249279      -0.321973
441   2.712078      0.247303      -0.321278
442   2.718214      0.245332      -0.320580
443   2.724350      0.243365      -0.319880
444   2.730486      0.241402      -0.319177
445   2.736622      0.239444      -0.318472
446   2.742758      0.237490      -0.317765
447   2.748894      0.235540      -0.317055
448   2.755029      0.233594      -0.316342
449   2.761165      0.231653      -0.315627
450   2.767301      0.229717      -0.314910
451   2.773437      0.227784      -0.314191
452   2.779573      0.225857      -0.313470
453   2.785709      0.223933      -0.312746
454   2.791845      0.222014      -0.312020
455   2.797981      0.220100      -0.311292
456   2.804117      0.218190      -0.310562
457   2.810253      0.216284      -0.309830
458   2.816389      0.214383      -0.309096
459   2.822525      0.212486      -0.308360
460   2.828661      0.210594      -0.307622
461   2.834796      0.208707      -0.306882
462   2.840932      0.206824      -0.306141
463   2.847068      0.204945      -0.305397
464   2.853204      0.203071      -0.304652
465   2.859340      0.201202      -0.303905
466   2.865476      0.199337      -0.303156
467   2.871612      0.197477      -0.302406
468   2.877748      0.195622      -0.301654
469   2.883884      0.193771      -0.300900
470   2.890020      0.191924      -0.300145
471   2.896156      0.190083      -0.299388
472   2.902292      0.188246      -0.298630
473   2.908428      0.186413      -0.297870
474   2.914563      0.184586      -0.297109
475   2.920699      0.182763      -0.296347
476   2.926835      0.180944      -0.295583
477   2.932971      0.179130      -0.294818
478   2.939107      0.177322      -0.294051
479   2.945243      0.175517      -0.293283
480   2.951379      0.173718      -0.292515
481   2.957515      0.171923      -0.291745
482   2.963651      0.170133      -0.290973
483   2.969787      0.168347      -0.290201
484   2.975923      0.166567      -0.289428
485   2.982059      0.164791      -0.288653
486   2.988195      0.163020      -0.287878
487   2.994330      0.161253      -0.287101
488   3.000466      0.159492      -0.286324
489   3.006602      0.157735      -0.285546
490   3.012738      0.155983      -0.284767
491   3.018874      0.154235      -0.283987
492   3.025010      0.152493      -0.283206
493   3.031146      0.150755      -0.282424
494   3.037282      0.149022      -0.281642
495   3.043418      0.147294      -0.280859
496   3.049554      0.145571      -0.280076
497   3.055690      0.143852      -0.279291
498   3.061826      0.142138      -0.278507
499   3.067962      0.140430      -0.277721
500   3.074097      0.138725      -0.276935
501   3.080233      0.137026      -0.276149
502   3.086369      0.135332      -0.275362
503   3.092505      0.133642      -0.274574
504   3.098641      0.131957      -0.273787
505   3.104777      0.130277      -0.272999
506   3.110913      0.128602      -0.272210
507   3.117049      0.126932      -0.271421
508   3.123185      0.125267      -0.270632
509   3.129321      0.123606      -0.269843
510   3.135457      0.121950      -0.269053
511   3.141593      0.120300      -0.268264
512   3.147729      0.118653      -0.267474
513   3.153865      0.117012      -0.266684
514   3.160000      0.115376      -0.265894
515   3.166136      0.113744      -0.265104
516   3.172272      0.112118      -0.264314
517   3.178408      0.110496      -0.263524
518   3.184544      0.108879      -0.262734
519   3.190680      0.107267      -0.261944
520   3.196816      0.105660      -0.261154
521   3.202952      0.104057      -0.260364
522   3.209088      0.102460      -0.259575
523   3.215224      0.100867      -0.258785
524   3.221360      0.099279      -0.257996
525   3.227496      0.097696      -0.257208
526   3.233632      0.096118      -0.256419
527   3.239767      0.094544      -0.255631
528   3.245903      0.092976      -0.254843
529   3.252039      0.091412      -0.254055
530   3.258175      0.089853      -0.253268
531   3.264311      0.088299      -0.252482
532   3.270447      0.086750      -0.251696
533   3.276583      0.085206      -0.250910
534   3.282719      0.083666      -0.250125
535   3.288855      0.082131      -0.249341
536   3.294991      0.080601      -0.248557
537   3.301127      0.079076      -0.247773
538   3.307263      0.077556      -0.246991
539   3.313399      0.076040      -0.246209
540   3.319534      0.074530      -0.245428
541   3.325670      0.073024      -0.244647
542   3.331806      0.071523      -0.243868
543   3.337942      0.070026      -0.243089
544   3.344078      0.068535      -0.242311
545   3.350214      0.067048      -0.241534
546   3.356350      0.065566      -0.240758
547   3.362486      0.064089      -0.239982
548   3.368622      0.062616      -0.239208
549   3.374758      0.061148      -0.238435
550   3.380894      0.059685      -0.237663
551   3.387030      0.058227      -0.236891
552   3.393166      0.056773      -0.236121
553   3.399301      0.055325      -0.235352
554   3.405437      0.053881      -0.234585
555   3.411573      0.052441      -0.233818
556   3.417709      0.051006      -0.233053
557   3.423845      0.049576      -0.232289
558   3.429981      0.048151      -0.231526
559   3.436117      0.046731      -0.230764
560   3.442253      0.045315      -0.230004
561   3.448389      0.043903      -0.229245
562   3.454525      0.042497      -0.228488
563   3.460661      0.041095      -0.227732
564   3.466797      0.039697      -0.226977
565   3.472933      0.038305      -0.226224
566   3.479068      0.036917      -0.225473
567   3.485204      0.035533      -0.224723
568   3.491340      0.034154      -0.223975
569   3.497476      0.032780      -0.223228
570   3.503612      0.031410      -0.222483
571   3.509748      0.030045      -0.221740
572   3.515884      0.028684      -0.220999
573   3.522020      0.027328      -0.220259
574   3.528156      0.025977      -0.219521
575   3.534292      0.024630      -0.218785
576   3.540428      0.023288      -0.218051
577   3.546564      0.021950      -0.217319
578   3.552700      0.020616      -0.216589
579   3.558835      0.019287      -0.215861
580   3.564971      0.017963      -0.215135
581   3.571107      0.016643      -0.214411
582   3.577243      0.015327      -0.213689
583   3.583379      0.014016      -0.212969
584   3.589515      0.012709      -0.212252
585   3.595651      0.011407      -0.211537
586   3.601787      0.010109      -0.210824
587   3.607923      0.008815      -0.210114
588   3.614059      0.007526      -0.209406
589   3.620195      0.006241      -0.208701
590   3.626331      0.004960      -0.207998
591   3.632467      0.003684      -0.207298
592   3.638602      0.002412      -0.206601
593   3.644738      0.001144      -0.205907
