#zone, q, logR, logRho, logT, logP, logPgas, luminosity, x_mass_fraction_H, y_mass_fraction_He, z_mass_fraction_metals, gamma1, opacity, pp, cno, gradr, gradT, grada, actual_gradT 
294, 9.9998379269403781E-001, 6.5260893108230011E-001, -4.1854337456295125E+000, 5.8884347005181272E+000, 9.8838486586686791E+000, 9.8293520345408751E+000, 2.0247037931065057E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5479544522439801E+000, 9.8246827913545653E-001, 5.0543821089665444E-015, 0.0000000000000000E+000, 2.1570449439324416E-001, 2.1570449439324416E-001, 3.1738405101134365E-001, 2.1570449155555707E-001 
295, 9.9998320056084444E-001, 6.5230270689365011E-001, -4.1723022905975737E+000, 5.8919771686423728E+000, 9.9002319470016396E+000, 9.8460303946886221E+000, 2.0247037772373209E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5483679892349262E+000, 9.7990725023964076E-001, 5.7264577414034766E-015, 0.0000000000000000E+000, 2.1624058435370366E-001, 2.1624058435370366E-001, 3.1763698207589502E-001, 2.1624059025202602E-001 
296, 9.9998260532966954E-001, 6.5200342353811758E-001, -4.1589070880374566E+000, 5.8956074252250907E+000, 9.9169678811434938E+000, 9.8630598989756209E+000, 2.0247037611994550E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5487745372883994E+000, 9.7735287734130605E-001, 6.5052448137232901E-015, 0.0000000000000000E+000, 2.1676717074112728E-001, 2.1676717074112728E-001, 3.1788746078715424E-001, 2.1676718078388524E-001 
297, 9.9998194396169737E-001, 6.5168029265985339E-001, -4.1459782037183226E+000, 5.8991169005825697E+000, 9.9331298788743219E+000, 9.8795018426238528E+000, 2.0247037432791618E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5491540958709598E+000, 9.7500966733752448E-001, 7.3563227941114285E-015, 0.0000000000000000E+000, 2.1733396600326399E-001, 2.1733396600326399E-001, 3.1812335638099443E-001, 2.1733397553235090E-001 
298, 9.9998134873052247E-001, 6.5139741338996326E-001, -4.1335024560315565E+000, 5.9025219907709561E+000, 9.9487518546510447E+000, 9.8953862078793087E+000, 2.0247037270624944E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5495010959915680E+000, 9.7279077542545944E-001, 8.2849720118581601E-015, 0.0000000000000000E+000, 2.1782895199026348E-001, 2.1782895199026348E-001, 3.1834090732068998E-001, 2.1782896122279560E-001 
299, 9.9998068736255030E-001, 6.5109138182738491E-001, -4.1183474174428012E+000, 5.9066851910329374E+000, 9.9677664836686688E+000, 9.9147086927608736E+000, 2.0247037089470341E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5498972693538247E+000, 9.7014578091863923E-001, 9.5757128008209066E-015, 0.0000000000000000E+000, 2.1835610377816714E-001, 2.1835610377816714E-001, 3.1859199564410590E-001, 2.1835611639165939E-001 
300, 9.9997976144738931E-001, 6.5067659937961708E-001, -4.1001949792205936E+000, 5.9116846084317478E+000, 9.9905605085059204E+000, 9.9378647752032645E+000, 2.0247036834149567E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5503505562207931E+000, 9.6719907933346483E-001, 1.1387330111003657E-014, 0.0000000000000000E+000, 2.1906797159634989E-001, 2.1906797159634989E-001, 3.1888368157008279E-001, 2.1906798382013140E-001 
301, 9.9997869830055608E-001, 6.5021845818986923E-001, -4.0850692543319544E+000, 5.9158415682716612E+000, 1.0009543151360324E+001, 9.9571502709702884E+000, 2.0247036538598368E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5507224691912620E+000, 9.6502957498034581E-001, 1.3147654420543949E-014, 0.0000000000000000E+000, 2.1987396850692678E-001, 2.1987396850692678E-001, 3.1912656251946381E-001, 2.1987396652382260E-001 
302, 9.9997803073498670E-001, 6.4993992341647200E-001, -4.0738385240998287E+000, 5.9189556911431449E+000, 1.0023675921148472E+001, 9.9714975019677681E+000, 2.0247036351780385E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5509831050972216E+000, 9.6340222168624967E-001, 1.4635548454040324E-014, 0.0000000000000000E+000, 2.2036618983066397E-001, 2.2036618983066397E-001, 3.1929835462749240E-001, 2.2036616913016627E-001 
303, 9.9997736316941732E-001, 6.4966798259303571E-001, -4.0618820336609627E+000, 5.9222873690972442E+000, 1.0038745586963579E+001, 9.9867891717447659E+000, 2.0247036164028032E+004, 7.0000000000000007E-001, 2.8000000000000003E-001, 1.9999999999999907E-002, 1.5512511401172828E+000, 9.6170466329964222E-001, 1.6408346542186502E-014, 0.0000000000000000E+000, 2.2083449203528721E-001, 2.2083449203528721E-001, 3.1947623059183072E-001, 2.2083446065127249E-001 
