zone,xi,theta,dtheta/dxi
894,5.491651,0.072876,-0.067003
895,5.497787,0.072465,-0.066856
896,5.503923,0.072055,-0.066710
897,5.510059,0.071646,-0.066563
898,5.516195,0.071237,-0.066418
899,5.522331,0.070830,-0.066272
900,5.528467,0.070423,-0.066128
901,5.534603,0.070017,-0.065983
902,5.540739,0.069612,-0.065839
903,5.546875,0.069208,-0.065696
904,5.553010,0.068805,-0.065553
905,5.559146,0.068403,-0.065410
906,5.565282,0.068002,-0.065268
907,5.571418,0.067601,-0.065126
908,5.577554,0.067202,-0.064985
909,5.583690,0.066803,-0.064844
910,5.589826,0.066405,-0.064703
911,5.595962,0.066008,-0.064563
912,5.602098,0.065612,-0.064424
913,5.608234,0.065217,-0.064285
914,5.614370,0.064822,-0.064146
915,5.620506,0.064429,-0.064008
916,5.626642,0.064036,-0.063870
917,5.632777,0.063644,-0.063732
918,5.638913,0.063253,-0.063595
919,5.645049,0.062863,-0.063459
920,5.651185,0.062473,-0.063322
921,5.657321,0.062085,-0.063187
922,5.663457,0.061697,-0.063051
923,5.669593,0.061310,-0.062916
924,5.675729,0.060924,-0.062782
925,5.681865,0.060539,-0.062647
926,5.688001,0.060154,-0.062514
927,5.694137,0.059771,-0.062380
928,5.700273,0.059388,-0.062248
929,5.706409,0.059006,-0.062115
930,5.712544,0.058625,-0.061983
931,5.718680,0.058245,-0.061851
932,5.724816,0.057865,-0.061720
933,5.730952,0.057487,-0.061589
934,5.737088,0.057109,-0.061458
935,5.743224,0.056732,-0.061328
936,5.749360,0.056355,-0.061199
937,5.755496,0.055980,-0.061069
938,5.761632,0.055605,-0.060940
939,5.767768,0.055231,-0.060812
940,5.773904,0.054858,-0.060684
941,5.780040,0.054486,-0.060556
942,5.786176,0.054114,-0.060429
943,5.792311,0.053743,-0.060302
944,5.798447,0.053373,-0.060175
945,5.804583,0.053004,-0.060049
946,5.810719,0.052636,-0.059923
947,5.816855,0.052268,-0.059797
948,5.822991,0.051901,-0.059672
949,5.829127,0.051535,-0.059548
950,5.835263,0.051169,-0.059423
951,5.841399,0.050805,-0.059299
952,5.847535,0.050441,-0.059176
953,5.853671,0.050078,-0.059053
954,5.859807,0.049716,-0.058930
955,5.865943,0.049354,-0.058807
956,5.872078,0.048993,-0.058685
957,5.878214,0.048633,-0.058563
958,5.884350,0.048274,-0.058442
959,5.890486,0.047915,-0.058321
960,5.896622,0.047557,-0.058200
961,5.902758,0.047200,-0.058080
962,5.908894,0.046844,-0.057960
963,5.915030,0.046488,-0.057841
964,5.921166,0.046133,-0.057722
965,5.927302,0.045779,-0.057603
966,5.933438,0.045426,-0.057484
967,5.939574,0.045073,-0.057366
968,5.945710,0.044721,-0.057248
969,5.951845,0.044370,-0.057131
970,5.957981,0.044019,-0.057014
971,5.964117,0.043669,-0.056897
972,5.970253,0.043320,-0.056781
973,5.976389,0.042972,-0.056665
974,5.982525,0.042624,-0.056549
975,5.988661,0.042277,-0.056434
976,5.994797,0.041931,-0.056319
977,6.000933,0.041585,-0.056204
978,6.007069,0.041240,-0.056090
979,6.013205,0.040896,-0.055976
980,6.019341,0.040553,-0.055862
981,6.025477,0.040210,-0.055749
982,6.031612,0.039868,-0.055636
983,6.037748,0.039526,-0.055523
984,6.043884,0.039186,-0.055411
985,6.050020,0.038846,-0.055299
986,6.056156,0.038506,-0.055187
987,6.062292,0.038168,-0.055076
988,6.068428,0.037830,-0.054965
989,6.074564,0.037493,-0.054854
990,6.080700,0.037156,-0.054744
991,6.086836,0.036820,-0.054634
992,6.092972,0.036485,-0.054524
993,6.099108,0.036150,-0.054415
994,6.105244,0.035816,-0.054306
995,6.111379,0.035483,-0.054197
996,6.117515,0.035151,-0.054089
997,6.123651,0.034819,-0.053981
998,6.129787,0.034488,-0.053873
999,6.135923,0.034157,-0.053765
1000,6.142059,0.033827,-0.053658
1001,6.148195,0.033498,-0.053552
1002,6.154331,0.033169,-0.053445
1003,6.160467,0.032841,-0.053339
1004,6.166603,0.032514,-0.053233
1005,6.172739,0.032187,-0.053127
1006,6.178875,0.031861,-0.053022
1007,6.185011,0.031536,-0.052917
1008,6.191146,0.031211,-0.052813
1009,6.197282,0.030887,-0.052708
1010,6.203418,0.030564,-0.052604
1011,6.209554,0.030241,-0.052500
1012,6.215690,0.029919,-0.052397
1013,6.221826,0.029598,-0.052294
1014,6.227962,0.029277,-0.052191
1015,6.234098,0.028956,-0.052088
1016,6.240234,0.028637,-0.051986
1017,6.246370,0.028318,-0.051884
1018,6.252506,0.028000,-0.051783
1019,6.258642,0.027682,-0.051681
1020,6.264778,0.027365,-0.051580
1021,6.270913,0.027048,-0.051479
1022,6.277049,0.026732,-0.051379
1023,6.283185,0.026417,-0.051279
1024,6.289321,0.026102,-0.051179
1025,6.295457,0.025788,-0.051079
1026,6.301593,0.025475,-0.050980
1027,6.307729,0.025162,-0.050881
1028,6.313865,0.024850,-0.050782
1029,6.320001,0.024538,-0.050684
1030,6.326137,0.024227,-0.050586
1031,6.332273,0.023917,-0.050488
1032,6.338409,0.023607,-0.050390
1033,6.344545,0.023298,-0.050293
1034,6.350680,0.022989,-0.050196
1035,6.356816,0.022681,-0.050099
1036,6.362952,0.022374,-0.050002
1037,6.369088,0.022067,-0.049906
1038,6.375224,0.021761,-0.049810
1039,6.381360,0.021455,-0.049715
1040,6.387496,0.021150,-0.049619
1041,6.393632,0.020846,-0.049524
1042,6.399768,0.020542,-0.049429
1043,6.405904,0.020239,-0.049335
1044,6.412040,0.019936,-0.049240
1045,6.418176,0.019634,-0.049146
1046,6.424312,0.019332,-0.049052
1047,6.430447,0.019031,-0.048959
1048,6.436583,0.018731,-0.048866
1049,6.442719,0.018431,-0.048773
1050,6.448855,0.018132,-0.048680
1051,6.454991,0.017833,-0.048587
1052,6.461127,0.017535,-0.048495
1053,6.467263,0.017237,-0.048403
1054,6.473399,0.016940,-0.048312
1055,6.479535,0.016644,-0.048220
1056,6.485671,0.016348,-0.048129
1057,6.491807,0.016053,-0.048038
1058,6.497943,0.015758,-0.047947
1059,6.504079,0.015464,-0.047857
1060,6.510214,0.015170,-0.047767
1061,6.516350,0.014877,-0.047677
1062,6.522486,0.014585,-0.047587
1063,6.528622,0.014293,-0.047498
1064,6.534758,0.014001,-0.047409
1065,6.540894,0.013710,-0.047320
1066,6.547030,0.013420,-0.047231
1067,6.553166,0.013130,-0.047143
1068,6.559302,0.012841,-0.047055
1069,6.565438,0.012552,-0.046967
1070,6.571574,0.012264,-0.046879
1071,6.577710,0.011976,-0.046792
1072,6.583846,0.011689,-0.046705
1073,6.589981,0.011403,-0.046618
1074,6.596117,0.011116,-0.046531
1075,6.602253,0.010831,-0.046445
1076,6.608389,0.010546,-0.046358
1077,6.614525,0.010262,-0.046272
1078,6.620661,0.009978,-0.046187
1079,6.626797,0.009694,-0.046101
1080,6.632933,0.009411,-0.046016
1081,6.639069,0.009129,-0.045931
1082,6.645205,0.008847,-0.045846
1083,6.651341,0.008566,-0.045762
1084,6.657477,0.008285,-0.045677
1085,6.663613,0.008005,-0.045593
1086,6.669748,0.007725,-0.045509
1087,6.675884,0.007446,-0.045426
1088,6.682020,0.007167,-0.045342
1089,6.688156,0.006889,-0.045259
1090,6.694292,0.006611,-0.045176
1091,6.700428,0.006334,-0.045094
1092,6.706564,0.006057,-0.045011
1093,6.712700,0.005781,-0.044929
1094,6.718836,0.005505,-0.044847
1095,6.724972,0.005230,-0.044765
1096,6.731108,0.004956,-0.044683
1097,6.737244,0.004681,-0.044602
1098,6.743380,0.004408,-0.044521
1099,6.749515,0.004134,-0.044440
1100,6.755651,0.003862,-0.044359
1101,6.761787,0.003590,-0.044279
1102,6.767923,0.003318,-0.044199
1103,6.774059,0.003047,-0.044119
1104,6.780195,0.002776,-0.044039
1105,6.786331,0.002506,-0.043959
1106,6.792467,0.002236,-0.043880
1107,6.798603,0.001967,-0.043801
1108,6.804739,0.001698,-0.043722
1109,6.810875,0.001430,-0.043643
1110,6.817011,0.001162,-0.043564
1111,6.823147,0.000895,-0.043486
1112,6.829282,0.000628,-0.043408
1113,6.835418,0.000362,-0.043330
1114,6.841554,0.000096,-0.043252
